Time,AES ID,DP AES Owner,Channel Name,Ocean Region,GES ID (octal),Channel Bearer,Channel Unit ID,Channel Type,Superframe Number,Frame Number,Slot Number,SU Number,SU Type,SU Type Code,SU Contents,Q Number,Reference Number,Ack Control,SDM Figure,CRC Correct,Missed T-Channel Burst,Broadcast,Rx Power (dBm),C/No,Frequency Offset (Hz),Estimated BER,Burst Timing Offset (microseconds)
7/03/2014 16:42:03.028,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,149,,9980
7/03/2014 16:42:03.188,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,149,,9980
7/03/2014 16:42:03.348,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,148,,9980
7/03/2014 16:42:03.508,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,148,,9980
7/03/2014 16:42:04.405,35200217,SITADP (3047),IOR-P10500-0-3859,IOR,305,,10,P-Channel TX,,,,,0x62 - Acknowledge User Data,,,,,,,,,,,,,,
7/03/2014 16:42:04.408,35200217,SITADP (3047),IOR-R1200-0-36ED,IOR,305,Rx Primary,4,R-Channel RX,12184,,5,,0x62 - Acknowledge User Data (R-channel),62,1F D0 62 75 00 8F C5 7A 4E 00 00 00 00 00 00 00 00 7F 89 ,D,0,E,S31,Yes,No,No,-57.29,40.09,146,0,14920
7/03/2014 16:42:17.406,35200217,SITADP (3047),IOR-R1200-0-36ED,IOR,305,,4,R-Channel RX,,,,,0x22 - Access Request (R/T-Channel),,,,,,,,,,,,160,,14960
7/03/2014 16:42:17.905,35200217,SITADP (3047),IOR-P10500-0-3859,IOR,305,,10,P-Channel TX,,,,,0x51 - T-Channel Assignment,,,,,,,,,,,,,,
7/03/2014 16:42:21.748,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,0x71 - User Data (ISU) - RLS,,,,,,,,,,,,157,,9940
7/03/2014 16:42:21.909,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,157,,9940
7/03/2014 16:42:22.069,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,154,,9940
7/03/2014 16:42:22.239,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,154,,9940
7/03/2014 16:42:22.388,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,156,,9940
7/03/2014 16:42:22.550,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,156,,9940
7/03/2014 16:42:22.708,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,157,,9940
7/03/2014 16:42:22.891,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,157,,9940
7/03/2014 16:42:23.039,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,154,,9940
7/03/2014 16:42:23.188,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,154,,9940
7/03/2014 16:42:23.348,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,153,,9940
7/03/2014 16:42:23.508,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,153,,9940
7/03/2014 16:42:23.697,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,152,,9940
7/03/2014 16:42:23.828,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,152,,9940
7/03/2014 16:42:23.988,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,150,,9940
7/03/2014 16:42:24.028,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,150,,9940
7/03/2014 16:42:25.748,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,148,,9940
7/03/2014 16:42:25.909,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,148,,9940
7/03/2014 16:42:26.068,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,148,,9940
7/03/2014 16:42:26.229,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,148,,9940
7/03/2014 16:42:26.388,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,146,,9940
7/03/2014 16:42:26.548,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,146,,9940
7/03/2014 16:42:26.709,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,148,,9940
7/03/2014 16:42:26.868,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,148,,9940
7/03/2014 16:42:27.028,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,146,,9940
7/03/2014 16:42:27.189,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,146,,9940
7/03/2014 16:42:27.348,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,145,,9940
7/03/2014 16:42:27.509,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,145,,9940
7/03/2014 16:42:27.668,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,144,,9940
7/03/2014 16:42:27.828,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,144,,9940
7/03/2014 16:42:27.988,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,145,,9940
7/03/2014 16:42:28.906,35200217,SITADP (3047),IOR-P10500-0-3859,IOR,305,,10,P-Channel TX,,,,,0x62 - Acknowledge User Data,,,,,,,,,,,,,,
7/03/2014 16:42:29.905,35200217,SITADP (3047),IOR-P10500-0-3859,IOR,305,,10,P-Channel TX,,,,,0x71 - User Data (ISU) - RLS,,,,,,,,,,,,,,
7/03/2014 16:42:29.905,35200217,SITADP (3047),IOR-P10500-0-3859,IOR,305,,10,P-Channel TX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,,,
7/03/2014 16:42:29.905,35200217,SITADP (3047),IOR-P10500-0-3859,IOR,305,,10,P-Channel TX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,,,
